20160215113414 Cannot connect to COM1 at 9600
20160215204509 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215204609 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215204709 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215204809 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215204909 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215205009 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215205109 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215205209 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215205309 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215205409 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215205509 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215205609 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215205709 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215205809 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215205909 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215210009 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215210109 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215210210 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215210310 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215210410 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215210510 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215210610 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215210710 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215210810 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215210910 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215211010 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215211110 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215211210 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215211310 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215211410 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215211510 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215211610 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215211710 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215211810 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215211910 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215212010 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215212110 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215212210 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215212310 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215212410 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215212510 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215212610 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215212710 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215212810 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215212910 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215213010 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215213110 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215213210 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215213310 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215213410 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215213510 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215213610 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215213710 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215213810 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215213910 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215214010 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215214110 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215214210 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215214310 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215214410 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215214511 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215214611 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215214711 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215214811 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215214911 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215215011 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215215111 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215215211 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215215311 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215215411 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215215511 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215215611 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215215711 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215215811 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215215911 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215220011 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215221220 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215221320 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215221420 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215221520 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215221620 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215221720 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215221820 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215221920 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215222020 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215222121 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215222221 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215222321 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215222421 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
